0.00000	0.00000
0.02500	0.00372
0.05000	0.00744
0.07500	0.01110
0.10000	0.01477
0.12500	0.01833
0.15000	0.02189
0.17500	0.02529
0.20000	0.02868
0.22500	0.03187
0.25000	0.03505
0.27500	0.03797
0.30000	0.04089
0.32500	0.04348
0.35000	0.04607
0.37500	0.04828
0.40000	0.05049
0.42500	0.05227
0.45000	0.05404
0.47500	0.05532
0.50000	0.05660
0.52500	0.05733
0.55000	0.05805
0.57500	0.05816
0.60000	0.05827
0.62500	0.05770
0.65000	0.05714
0.67500	0.05583
0.70000	0.05452
0.72500	0.05240
0.75000	0.05029
0.77500	0.04729
0.80000	0.04430
0.82500	0.04037
0.85000	0.03643
0.87500	0.03148
0.90000	0.02652
0.92500	0.02048
0.95000	0.01443
0.97500	0.00722
1.00000	0.00000
